영상 파일명,평균 속도(FPS),최저 속도(Seconds),최고 속도(Seconds),평균 사람 형태 차단율(%),최저 사람 형태 차단율(%),최고 사람 형태 차단율(%),평균 BBox 마스킹률(%),최저 BBox 마스킹률(%),최고 BBox 마스킹률(%),평균 신뢰도 점수(Conf)
result_cross_eval_20260607_160537.csv,4.788475396565982,0.1693425178527832,0.2813680171966553,99.35671526330535,73.5496667724532,100.0,100.0,100.0,100.0,0.9028195454755845
result_cross_eval_20260607_161907.csv,4.9788627062769315,0.1568193435668945,0.2484505176544189,98.6672650761298,92.86842764387416,100.0,100.0,100.0,100.0,0.8922159396188519
result_cross_eval_20260607_163205.csv,4.830060417912768,0.1615536212921142,0.2794160842895508,99.0108847127876,94.69619959695396,100.0,100.0,100.0,100.0,0.8971022601721351
result_cross_eval_20260607_164549.csv,5.019107782323099,0.1353633403778076,0.2461771965026855,97.2078521464895,52.49133936203716,100.0,100.0,100.0,100.0,0.8525001521141016
result_cross_eval_20260607_170000.csv,5.148876101097484,0.1450517177581787,0.2616825103759765,99.44313200883573,96.88988465687495,100.0,100.0,100.0,100.0,0.8997765990878026
result_cross_eval_20260607_171250.csv,5.15072246623898,0.1404619216918945,0.3298282623291015,99.61400165540505,96.91843293954135,100.0,100.0,100.0,100.0,0.9125310739687643
result_cross_eval_20260607_172535.csv,4.824806426484825,0.1641726493835449,0.2707729339599609,96.58512433516493,58.17180836649409,100.0,100.0,100.0,100.0,0.8950188807012506
result_cross_eval_20260607_174031.csv,5.1130998222098105,0.122077465057373,0.2734591960906982,99.30888527944929,35.804071117054534,100.0,100.0,100.0,100.0,0.8796918386714601
result_cross_eval_20260607_175345.csv,5.2770522776553115,0.1334795951843261,0.2384302616119384,99.3845838087684,97.82413970645281,100.0,100.0,100.0,100.0,0.9179431404949494
result_cross_eval_20260607_180647.csv,5.104889828395519,0.1274728775024414,0.2307133674621582,99.18669658880486,95.16085862641187,100.0,100.0,100.0,100.0,0.9008762190380383
result_cross_eval_20260607_182145.csv,5.420142584659628,0.1153078079223632,0.2294206619262695,99.28502187701305,84.89434775016008,100.0,100.0,100.0,100.0,0.8756399131470617
result_cross_eval_20260607_183353.csv,5.184718924034379,0.1471953392028808,0.2531702518463135,99.11045530331275,57.53001264946658,100.0,100.0,100.0,100.0,0.9294522314717069
result_cross_eval_20260607_184622.csv,5.318686626652935,0.1336660385131836,0.4014391899108886,98.60575833752183,95.62785653420096,100.0,100.0,100.0,100.0,0.8791666559175095
result_cross_eval_20260607_185909.csv,5.242957575152921,0.1478068828582763,0.2481117248535156,98.44013305805866,93.17064578629646,100.0,100.0,100.0,100.0,0.8937998778492693
result_cross_eval_20260607_194002.csv,4.68841366504333,0.147101879119873,0.2603611946105957,99.3729497651924,88.9432611629408,100.0,100.0,100.0,100.0,0.910389918795694
result_cross_eval_20260607_195427.csv,4.272073356048016,0.1653740406036377,0.2981355190277099,96.27304007007535,66.57793294802423,100.0,100.0,100.0,100.0,0.9138732742879232
